StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
HIR Casa;Finance Financial Services Real Estate;Mexico City Distrito Federal Mexico;HIR Casa provides a wide range of real estate financing services to buy build and remodel the house.;2023-03-01;55191598;1;Debt Financing;MX;Latin America;International Finance Corporation
Cayena;B2B E-Commerce Food and Beverage Information Services Marketplace;São Paulo Sao Paulo Brazil;B2B marketplace for restaurants to procure inventory from multiple suppliers with next day delivery and better payment terms.;2024-07-30;55000000;5;Series B;BR;Latin America;Endeavor FJ Labs Endeavor Catalyst Picus Capital Canary
Inventa;B2B E-Commerce Marketplace Retail Retail Technology Wholesale;São Paulo Sao Paulo Brazil;Inventa is a wholesale marketplace that connects brands with independent retailers across Latin America.;2022-04-27;55000000;4;Series B;BR;Latin America;Andreessen Horowitz Greenoaks Tiger Global Management Founders Fund ONEVC
Simetrik;Financial Services FinTech Payments Software;Bogotá Distrito Especial Colombia;Simetrik is a no-code solution that offers the right balance between flexibility and robustness for the reconciliation process automation.;2024-02-21;55000000;8;Series B;CO;Latin America;Y Combinator Tiger Global Management FJ Labs Endeavor Catalyst Clocktower Technology Ventures
Sanasa Campinas;Environmental Consulting Health Care Waste Management Water Purification;São Paulo Sao Paulo Brazil;Sanasa Campinas provides water treatment loss control sewage treatment environmental waste management repair and maintenance services.;2023-07-25;54732233;1;Debt Financing;BR;Latin America;International Finance Corporation
ROCK Encantech;CRM Information Technology;São Paulo Sao Paulo Brazil;ROCK Encantech provides solutions ranging from CRM to intelligence and loyalty.;2024-09-18;54711579;1;Seed;BR;Latin America;Hindiana
Fazenda Futuro;Food and Beverage Food Processing Retail;Rio De Janeiro Rio de Janeiro Brazil;Fazenda Futuro is a food tech company that produces flat meat.;2021-11-03;54019015;3;Series C;BR;Latin America;BTG Pactual Caravela Capital monashees XP Inc Go4it Capital
Vamos;Facilities Support Services Fleet Management Transportation;São Paulo Sao Paulo Brazil;Vamos are into leasing of trucks machinery and equipment.;2023-06-29;53529884;1;Corporate Round;BR;Latin America;Simpar
Chiper;B2B E-Commerce Retail Technology;Cundinamarca Distrito Especial Colombia;Chiper is a B2B e-commerce ecosystem for the corner store retail market in Latin America;2021-11-18;53000000;5;Series B;CO;Latin America;Tiger Global Management Endeavor Catalyst FJ Labs Kaszek monashees
Mottu;Automotive Big Data Car Sharing Information Technology Last Mile Transportation Rental Transportation;São Paulo Sao Paulo Brazil;Mottu is a motorcycle rental startup that enables gig workers to work for logistic and food delivery apps.;2023-09-15;50000000;6;Series C;BR;Latin America;FJ Labs Tiger Global Management QED Investors Endeavor Catalyst Caravela Capital
Bold;Financial Services FinTech Payments;Bogotá Distrito Especial Colombia;Bold creates financial tools that allow users to increase sales by receiving card payments.;2024-02-14;50000000;5;Series C;CO;Latin America;International Finance Corporation Tiger Global Management Endeavor Catalyst Global Founders Capital General Atlantic
Adventures;E-Commerce Internet;São Paulo Sao Paulo Brazil;Adventures helps the largest creators in LatAm build world class businesses.;2022-02-03;50000000;1;Series A;BR;Latin America;Mercado Libre Fund Constellation Technology Ventures Atmos capital Provence Capital Go4it Capital
Vila 11;Property Management Real Estate Rental Property;São Paulo Sao Paulo Brazil;Vila 11 is a real estate company that offers residences for rental.;2022-05-11;50000000;1;Private Equity;BR;Latin America;M3 Capital Partners
Molinos Río de la Plata;E-Commerce Internet Internet of Things Social Media;Buenos Aires Distrito Federal Argentina;Molinos Río de La Plata S.A.es una de las empresas líderes de la industria alimentaria con llegada a más de 50 países en todo el mundo.;2022-10-05;50000000;1;Debt Financing;AR;Latin America;Rabobank
Usina Santa Adélia;Industrial;São Paulo Sao Paulo Brazil;Usina Santa Adélia Produces agro-industrial food and energy from renewable sources with strict quality and sustainability standards.;2022-06-28;50000000;1;Debt Financing;BR;Latin America;International Finance Corporation Rabobank
Addi;Finance Financial Services FinTech Payments;Bogotá Distrito Especial Colombia;Addi is a technology company that provides credit and banking solutions.;2024-03-20;50000000;13;Debt Financing;CO;Latin America;SoftBank Andreessen Horowitz Goldman Sachs Union Square Ventures 8VC
Solvento;Finance Financial Services FinTech Information Technology;Santa Fe Distrito Federal Mexico;Solvento is a Fintech company that develops an AI-powered software and embedded financial products to automatie payments for truckers.;2023-12-06;50000000;5;Debt Financing;MX;Latin America;Lendable Wollef Ventures Susa Ventures LG Group Marco
Mendel;B2B Finance Information Technology Software;Mexico City Distrito Federal Mexico;Mendel will use expense management software to recover all of your invoices and integrates expense management software.;2022-11-07;50000000;5;Debt Financing;MX;Latin America;Y Combinator Alumni Ventures Industry Ventures Better Tomorrow Ventures Victory Park Capital
VIVA Aerobus;Information Technology Tourism Travel;Apodaca Nuevo Leon Mexico;VivaAerobus is the low cost airline in Mexico.;2021-12-01;50000000;1;Corporate Round;MX;Latin America;Allegiant Travel
Banco BV;Asset Management Banking Credit Financial Services;São Paulo Sao Paulo Brazil;Banco BV is a private banking sector that provides financial and banking services to make people's lives and businesses simple.;2022-07-26;48585417;1;Debt Financing;BR;Latin America;International Finance Corporation
Arquivei;Information Services Information Technology Intelligent Systems SaaS Software;São Carlos Do Pinhal Sao Paulo Brazil;Arquivei provides a database of legal documents issued in Brazil.;2021-12-14;48361789;6;Series B;BR;Latin America;International Finance Corporation Endeavor Catalyst Valor Capital Group Riverwood Capital monashees
Cortex;Analytics Artificial Intelligence (AI) Big Data Customer Service Information Technology Software;Rio De Janeiro Rio de Janeiro Brazil;Cortex Intelligence is a data analytics platform for marketing and sales which allows clients to produce the simplest analysis on demand.;2022-09-29;48166880;4;Series C;BR;Latin America;SoftBank Headline Endeavor Catalyst Lightrock Riverwood Capital
Agrion Agrisolutions;AgTech Biotechnology Fertility;Uberlândia Minas Gerais Brazil;Agrion Agrisolutions committed to creating cutting-edge agricultural products and solutions.;2024-08-19;46235497;1;Venture - Series Unknown;BR;Latin America;Global Fund for Coral Reefs
Stark Bank;Banking Financial Services Payments;São Paulo Sao Paulo Brazil;Stark Bank is a smart bank account that aids a technological advancement of a company.;2022-04-11;45000000;5;Series B;BR;Latin America;Y Combinator K5 Global Bezos Expeditions Foundation Capital Ribbit Capital
Santo Tomás;Education Training;Concepcion Bio-Bio Chile;Santo Tomás focuses on training capable professionals and technicians with a high sense of social responsibility;2023-06-21;43493210;1;Debt Financing;CL;Latin America;International Finance Corporation
Grupo LUXUN;Clean Energy Renewable Energy Solar;San Pedro Nuevo Leon Mexico;Implement and finance sustainable energy projects for C&I clients.;2023-05-17;43000000;1;Private Equity;MX;Latin America;Pegasus Capital
Conta Simples;Financial Services FinTech Information Technology Internet Software Venture Capital;São Paulo Sao Paulo Brazil;Conta Simples provides a solution that combines expense management software corporate cards and checking account for Latam SMBs.;2024-01-09;40761415;8;Series B;BR;Latin America;Y Combinator DOMO.VC FJ Labs Base10 Partners Valor Capital Group
Scanntech;Consumer Electronics Information Technology Software;Montevideo NA - Uruguay Uruguay;Scanntech provides point-of-sale software to retail stores.;2023-01-19;40579702;3;Venture - Series Unknown;UY;Latin America;Warburg Pincus Sequoia Capital International Finance Corporation Endeavor Catalyst Hindiana
Galgo;Financial Services FinTech;Santiago Region Metropolitana Chile;Galgo provides consumer secured loans and financial advice to underbanked people.;2023-10-10;40000000;6;Venture - Series Unknown;CL;Latin America;Fen Ventures Nazca Ventures Kayyak Ventures FYNSA Auteco
Hash;Financial Services FinTech Payments;Pinheiros Sao Paulo Brazil;Hash allows B2B companies to provide financial payments and banking solutions to their merchant partners.;2021-10-20;40000000;4;Series C;BR;Latin America;Kaszek Canary QED Investors Sun Moritz Scale-Up Ventures
albo;Banking FinTech Mobile Apps;Mexico City Distrito Federal Mexico;Albo is a challenger bank that focuses on personal and business finances as well as debit credit payroll savings and crypto.;2023-09-27;40000000;8;Series C;MX;Latin America;Plug and Play Endeavor Catalyst Flourish Ventures Valar Ventures Omidyar Network
Pomelo;Credit Cards Financial Services FinTech Information Technology;Buenos Aires Distrito Federal Argentina;Pomelo develops a digital processing platform to provide personalized virtual accounts and cards through APIs and dashboards.;2024-01-17;40000000;5;Series B;AR;Latin America;Sequoia Capital Latitud Insight Partners FJ Labs Index Ventures
Carbonext;Environmental Consulting Natural Resources;São Paulo Sao Paulo Brazil;Carbonext is a full-service carbon markets company responsible for the development monitoring and sales of carbon credits;2022-07-11;40000000;2;Series B;BR;Latin America;Canary Norte Ventures Alexia Ventures Shell Oil Company
Tambo;Consumer Goods E-Commerce Retail Shopping;Lima Lima Peru;Tambo is an online store for dairy and consumer products.;2022-03-01;40000000;1;Series B;PE;Latin America;
Quinio;Consumer Goods E-Commerce;Mexico City Distrito Federal Mexico;Acquire and build e-commerce brands in Latin America;2022-11-03;40000000;4;Series A;MX;Latin America;Western Technology Investment Northgate Capital Cometa AlleyCorp DILA Capital
Nagro;Agriculture AgTech Artificial Intelligence (AI) Big Data Financial Services FinTech Lending Machine Learning;Uberlândia Minas Gerais Brazil;Nagro is a brazilian agfintech delivering credit to small and midsize farmers and helping agribusiness chain reduce risk throughs BigData.;2023-09-20;40000000;6;Debt Financing;BR;Latin America;Google for Startups Kinea Investimentos Ltda Oasis Ventures Ariel Lambrecht
Elcatex;Manufacturing Textiles;Choloma Cortes Honduras;Elcatex is a textile manufacturing industry able to knit finish and cut fabric through innovative processes products and services.;2022-06-29;40000000;1;Debt Financing;MQ;Latin America;Inter American Development Bank mobilized capital
Pesquera Exalmar;Food and Beverage Food Processing Manufacturing Nutrition Seafood;Lima Lima Peru;Pesquera Exalmar is a fishing company which manufactures hydro-biological products.;2023-02-02;40000000;1;Debt Financing;PE;Latin America;Inter American Development Bank
Graviton;Industrial Automation Smart Building Smart Home;Ciudad Satélite Mexico Mexico;Graviton is an automation service company that creates smart spaces for offices parking lots and hotels.;2022-12-20;39819496;1;Venture - Series Unknown;MX;Latin America;
Fintual;Asset Management Finance Financial Services FinTech Personal Finance;Santiago Region Metropolitana Chile;Fintual is an asset management startup that manages the investments of young professionals who want to invest well.;2021-11-02;39000000;9;Series B;CL;Latin America;Sequoia Capital Y Combinator K50 Ventures Fen Ventures Kaszek
Veracel Celulose;Email Forestry Industrial Manufacturing Paper Manufacturing;Bahia Bahia Brazil;Veracel Celulose is a forest-based company that manufactures highly skilled cellulose fiber from eucalyptus with a dedication to people.;2022-09-13;38529142;1;Debt Financing;BR;Latin America;The Brazilian Development Bank(BNDES)
