StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
Fitco;Fitness Health Care Mobile Apps Software;Lima Lima Peru;Fitco is a management and retention software that helps fitness boutiques and sports centers in the growth of their business.;2020-04-27;300000;6;Seed;PE;Latin America;Techstars 500 Global Wayra Start-Up Chile Parallel18
Manno;Marketplace Service Industry;Buenos Aires Distrito Federal Argentina;Manno arrives to contract day-to-day service providers in less than 2 minutes with order aesthetics and efficiency through an app.;2022-12-01;300000;1;Pre-Seed;AR;Latin America;
Oncoliq;Health Care Medical;Buenos Aires Distrito Federal Argentina;Oncoliq is a startup that is developing a screening method for early cancer detection based on liquid biopsy using a small blood sample.;2022-03-15;300000;1;Pre-Seed;AR;Latin America;SF500
Frezze;Logistics;São Paulo Sao Paulo Brazil;Frezze is a storage marketing and logistics solutions company.;2020-10-01;300000;1;Pre-Seed;BR;Latin America;VERVE CAPITAL
2morrow Sports;Business Intelligence CRM Sports;Ribeirão Sao Paulo Brazil;2morrow Sports is a technology startup focused on the engagement and study of fan behavior indicators in the sport.;2020-10-10;300000;1;Pre-Seed;BR;Latin America;OutField Capital
PontoE;Education Loyalty Programs Marketplace;São Paulo Sao Paulo Brazil;PontoE is a platform where your daily purchases earn you points that can be exchanged for educational needs.;2021-09-01;300000;1;Pre-Seed;BR;Latin America;
Olefoot;Blockchain Cryptocurrency Fantasy Sports Soccer Web3;São Paulo Sao Paulo Brazil;Web3 fantasy game allowing sports lovers to manager their online clubs using football players and new talents NFTS.;2020-04-05;300000;1;Pre-Seed;BR;Latin America;
Basemaker;Advertising Creative Agency Digital Marketing Marketplace;Itajaí Santa Catarina Brazil;Basemaker is the world's first 1st-party data creator marketplace for advertisers to hyper-segment ad campaigns;2024-09-03;300000;2;Pre-Seed;BR;Latin America;Antler DOMO.VC Anjos do Brasil
Conducco;B2B Health Insurance Payments SaaS Sales Automation;São Paulo Sao Paulo Brazil;Conducco is the new iPaaS standard to connect and automate B2B subscriptions;2023-11-28;300000;1;Pre-Seed;BR;Latin America;Antler ACE Ventures TM3 Capital
Fashly;E-Commerce Fashion Retail Social Impact;São Paulo Sao Paulo Brazil;Fashly is an e-commerce brand that sells wholesale and retail clothing beauty and accessories.;2022-06-24;300000;1;Pre-Seed;BR;Latin America;
