Movener;Electric Vehicle Environmental Consulting Pollution Control;Santiago Region Metropolitana Chile;Movener is transforming polluting trucks into ecofriendly hybrid trucks;2024-04-26;2000000;1;Venture  Series Unknown;Private;CL;SQM Lithium Ventures
ObraLink;Civil Engineering Construction Information Technology;Providencia Region Metropolitana Chile;ObraLink is a technology service that automates processes and manual tasks in the execution of construction projects;2024-07-02;1929695;4;Seed;Private;CL;Cemex Ventures Carao Ventures Echeverria Izquierdo Polpaico Solutions M10
Keirón;Health Care Information Technology Software;Santiago Region Metropolitana Chile;Keiron is a healthtech focused on digitize the patient journey with and interoperable whitelabel and omnichannel platform;2024-03-04;1700000;3;Seed;Private;CL;Taram Capital Nakama Ventures Consorcio LarrainVial Asset Management
Fracción;ECommerce Health Care Pharmaceutical;Santiago Region Metropolitana Chile;Fracción is an ecommerce platform for pharmacy products;2024-03-21;1700000;2;Undisclosed;Private;CL;Manutara Ventures
Btrust;Financial Services FinTech SaaS;Las Condes Region Metropolitana Chile;Btrust is a SaaS company that provides Supply Chain Finance solutions for corporates and their suppliers;2024-05-17;1500000;2;Seed;Private;CL;Invexor Venture Partners
Webdox;Cloud Data Services Collaboration Contact Management Enterprise Software Information Technology Natural Language Processing Procurement SaaS Software;Santiago Region Metropolitana Chile;Webdox is a SaaS CLM focused on large and medium companies in LATAM and the US;2024-09-13;1500000;8;Venture  Series Unknown;Private;CL;Wayra Kayyak Ventures Taram Capital Asenza Capital Alacrity Ventures
BY BUG;Biotechnology Farming Waste Management;La Serena Coquimbo Chile;We offer an onsite organic waste management service which uses our insectbased biotechnolgy platform to create high valueadded products;2024-07-08;1400000;1;Seed;Private;CL;Atento Capital GRID EXPONENTIAL Arpegio Sudlich Capital Halcyon Venture Partners
Retorna;Apps Financial Services Mobile Payments Transaction Processing;Las Condes Region Metropolitana Chile;Retorna is an application for online money transfers and payments;2024-06-25;1200000;1;Seed;Private;CL;Morro Ventures Amplifica Capital Impacta VC Colectivo Jaguara
Fraccional;Crowdfunding Property Management Real Estate Real Estate Investment;Santiago Region Metropolitana Chile;Fraccional is a real estate investment platform that allows to enter the real estate market for a small charge and earn money;2024-03-01;1000000;2;Seed;Private;CL;
Airnguru SA;Air Transportation Big Data Business Intelligence Information Technology Machine Learning SaaS;Santiago Region Metropolitana Chile;Bestinclass airline pricing intelligence price optimization orchestration and automation platform;2024-03-12;1000000;7;Seed;Private;CL;
FarmaLoop;ECommerce Health Care Medical Pharmaceutical;Santiago Region Metropolitana Chile;FarmaLoop is an online pharmacy which is easy to use platform and innovative prices as per customers requirement;2024-06-05;900000;1;Venture  Series Unknown;Private;CL;Amarena
diio;Analytics Artificial Intelligence (AI) Enterprise Software Sales Enablement;Puerto Varas Los Lagos Chile;Saas Conversation Intelligence;2024-03-18;750000;1;PreSeed;Private;CL;Fen Ventures Salvador Said Cristobal Pinera
Foccuz;Software;Chillan BioBio Chile;Foccuz is a company that provides software solutions for sales teams;2024-03-22;700000;1;Seed;Private;CL;Chile Ventures Kuiper Invariantes Fund CARABELA MGV Capital
